id;firstName;lastName;gender;birthday
11;Hans;Poßhöffer;M;25.04.1985
12;Tom;McGregor;M;28.04.1985
13;Tobias;Schmidt;M;02.01.1982
14;Lutz;Hoffmann;M;28.10.1987
15;Sabine;Henkel;F;22.06.1993
16;Susann;Karlsmann;F;22.08.1995
17;Alfred;Stetter;M;12.11.1987
18;Günther;Kaufmann;M;04.12.1997
19;Bettina;Springer;F;12.02.2001
20;Detlef;Stratter;M;24.01.1993
21;Marta;Müller;F;08.08.1995
22;Petra;Nagelsmann;F;23.04.1994
23;Dirk;Pütter;M;01.03.1995
24;Lutz;Karlshaus;M;07.02.2001
25;Andrea;Schmidt;F;27.02.1995
26;Andreas;Pollmann;M;29.M02.1988
27;Sabine;Franz;F;31.07.1991
28;Erika;Bechler;F;04.05.1989
29;Gerda;Simon;F;16.06.2002
